Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
camp_pleasant_jig.krn.B_scale_dist_dur.txt,30,,,22,,,46,,,40,,38,,,10,,,6,,,
campbell_river_jig.krn.B_scale_dist_dur.txt,44,,,40,,,44,,,36,,12,,,,,,,12,,
campbells_farewell_to_redcastle.krn.B_scale_dist_dur.txt,84,,,26,,,24,,,28,,48,,,16,,,,30,,
caribou_reel.krn.B_scale_dist_dur.txt,72,,,16,,,28,,,16,,44,,,12,4,,4,60,4,
caribou_reel_alternate.krn.B_scale_dist_dur.txt,66,,,48,,,20,,,20,,24,,,,8,,,60,,
carraroe.krn.B_scale_dist_dur.txt,32,,,40,,,36,,,12,,48,,,24,,,,,,
castle_aaaa.krn.B_scale_dist_dur.txt,118,,,18,,,12,,,18,,34,,,,2,,,54,,
cat_fish_jig.krn.B_scale_dist_dur.txt,52,,,30,,,18,,,18,,28,,,16,,,28,,,
cat_in_the_hopper.krn.B_scale_dist_dur.txt,56,,,20,,,16,,,12,,40,,,,16,,,32,,
cat_on_a_leash.krn.B_scale_dist_dur.txt,68,,,64,,,36,,,24,,32,,,28,,,4,,,
catharsis.krn.B_scale_dist_dur.txt,54,,,34,,,40,,,38,,20,,,32,,,,38,,
cattle_in_the_cane.krn.B_scale_dist_dur.txt,116,,,24,,,56,,,20,,20,,,,,,,20,,
celina.krn.B_scale_dist_dur.txt,56,,,44,,,24,,,16,,24,,,24,,,60,,,
cemetery_road.krn.B_scale_dist_dur.txt,32,,,32,,,44,,,52,,80,,,,,,,16,,
chaine_du_reel.krn.B_scale_dist_dur.txt,28,,,8,,,34,,,8,20,48,,,28,,,16,,,
champaign_jig_goes_to_columbia.krn.B_scale_dist_dur.txt,52,,,24,,,48,,,8,,40,,,12,,,12,,,
charlie_mulvihills.krn.B_scale_dist_dur.txt,28,,,28,,,52,,,16,,36,,,24,,,8,,,
chattanooga.krn.B_scale_dist_dur.txt,68,,,24,,,60,,,,,40,,,60,,,8,,,
cheat_mountain.krn.B_scale_dist_dur.txt,28,,,12,,,84,,,40,,48,,,36,,,,8,,
cheticamp.krn.B_scale_dist_dur.txt,40,,,28,,,56,,,40,,32,,,32,,,28,,,
childgrove.krn.B_scale_dist_dur.txt,48,,,44,,,72,,,44,,40,,,,,,8,,,
chipchase_reel.krn.B_scale_dist_dur.txt,44,,,12,,,36,,,4,,52,,,88,,,20,,,
chirps_and_grain.krn.B_scale_dist_dur.txt,40,,,48,,,60,,,32,,72,,,,,,4,,,
cincinnati_rag.krn.B_scale_dist_dur.txt,58,,,16,,,48,,,8,,40,,,38,,,34,,,
cinquieme_partie_du_caledonia.krn.B_scale_dist_dur.txt,64,,,40,,,36,,,16,16,52,,,12,,,20,,,
clare_jig.krn.B_scale_dist_dur.txt,24,,,58,,,26,,,28,,32,,,24,,,,,,
cleveland_park.krn.B_scale_dist_dur.txt,60,,,28,,,32,,,10,,26,,,14,,,,22,,
cliffs_of_moher.krn.B_scale_dist_dur.txt,44,,,34,,,2,,,34,,48,,,10,2,,,18,,
clog_de-pariseau.krn.B_scale_dist_dur.txt,88,,,12,,,36,,,12,,44,,,40,,,24,,,
cloud_nine.krn.B_scale_dist_dur.txt,48,,,36,,,44,,,20,,96,,,16,,,,,,
coffee.krn.B_scale_dist_dur.txt,76,,,8,,,28,,,24,,24,,,,,,,24,,
coffee_alternate_b.krn.B_scale_dist_dur.txt,76,,,8,,,28,,,24,,24,,,,,,,24,,
colonel_mcbain.krn.B_scale_dist_dur.txt,48,,,48,,,56,,,28,,38,,,,2,,,36,,
come_under_my_plaidie.krn.B_scale_dist_dur.txt,56,,,32,,,28,,,,,16,,,38,,,20,,,
con_cassidys_jig.krn.B_scale_dist_dur.txt,30,,,28,,,,,,12,4,50,,,20,,,48,,,
concert_reel.krn.B_scale_dist_dur.txt,70,,,56,,,48,,,,,16,,,22,,,44,,,
congress_reel.krn.B_scale_dist_dur.txt,82,,,6,,,16,,,44,,48,,,,12,,,48,,
contrazz.krn.B_scale_dist_dur.txt,28,,,8,,,50,,,22,,80,,,40,,,4,4,4,
cooleys_reel.krn.B_scale_dist_dur.txt,58,,,60,,,16,,,32,,64,,,,,,,26,,
cordal_jig.krn.B_scale_dist_dur.txt,48,,,32,,,28,,,4,,10,,,28,,,42,,,
cori-lation.krn.B_scale_dist_dur.txt,100,,,32,,,8,,,24,,56,,,16,,,,20,,
cottage_in_the_grove.krn.B_scale_dist_dur.txt,88,,,40,,,,,,32,,36,,,,,,,60,,
cotton_baggin.krn.B_scale_dist_dur.txt,88,,,68,,,20,,,,,12,,,24,,,16,,,
cotton_eyed_joe.krn.B_scale_dist_dur.txt,64,,,40,,,36,,,,,52,,,48,,,,,,
courtesans_jig.krn.B_scale_dist_dur.txt,28,,,56,,,36,,,32,,16,,,,,,4,8,,
cowboy_jig.krn.B_scale_dist_dur.txt,34,,,14,,,30,,,12,,50,,,48,,,4,,,
cowboys_dream.krn.B_scale_dist_dur.txt,60,,,36,,,44,,,20,,64,,,12,,,4,,,
cranberry_rock.krn.B_scale_dist_dur.txt,64,,,40,,,64,,,,,32,,,40,,,8,,,
cripple_creek.krn.B_scale_dist_dur.txt,94,,,64,,,32,,,,,24,,,26,,,16,,,
crock_of_gold.krn.B_scale_dist_dur.txt,72,,,96,,,32,,,,,20,,,32,,,4,,,
crocketts_honeymoon.krn.B_scale_dist_dur.txt,56,,,32,,,32,,,8,,24,,,92,,,12,,,
crook_brothers_tune.krn.B_scale_dist_dur.txt,60,,,12,,,8,,,,,56,,,92,,,4,,,
crowleys.krn.B_scale_dist_dur.txt,52,,,36,,,32,,,40,,36,,,,12,,,48,,
cruinniu_na_mbad.krn.B_scale_dist_dur.txt,44,,,16,,,32,,,,,56,,,44,,,,,,
cuckoos_nest.krn.B_scale_dist_dur.txt,48,,,48,,,56,,,40,,40,,,8,,,,16,,
cuffy.krn.B_scale_dist_dur.txt,48,,,12,,,24,,,16,,72,,,56,,,28,,,
cuil_aodha.krn.B_scale_dist_dur.txt,74,,,28,,,2,,,22,,28,,,8,,,28,,,
cultivateur_le.krn.B_scale_dist_dur.txt,68,,,20,,,40,,,20,,60,,,24,,,24,,,
cultivateur_le_alternate.krn.B_scale_dist_dur.txt,56,,,24,,,32,,,32,,48,,,28,,,40,,,
curvy_road_to_corinth.krn.B_scale_dist_dur.txt,76,,,28,,,48,,,20,,28,,,,,,,56,,
cynthias_christmas_jig.krn.B_scale_dist_dur.txt,48,,,44,,,18,,,8,,26,,,26,,,22,,,
daileys_reel.krn.B_scale_dist_dur.txt,26,4,,28,,,34,,,36,10,42,6,,40,,,24,,,
damons_winder.krn.B_scale_dist_dur.txt,56,,,44,,,36,,,32,,52,,,28,,,8,,,
darlas_jig.krn.B_scale_dist_dur.txt,38,,,40,,,40,,,,,16,,,58,,,,,,
dawn.krn.B_scale_dist_dur.txt,46,,,24,,,60,,,12,,68,,,44,,,4,,,
death_valley_reunion.krn.B_scale_dist_dur.txt,100,,,12,,,8,,,4,,36,,,8,,,8,16,,
december_march.krn.B_scale_dist_dur.txt,54,,,18,,,40,,,28,,28,,,20,,,26,,12,
dedicado_a_jos.krn.B_scale_dist_dur.txt,32,,,24,,,56,,,36,,72,,,16,,,4,,,
deer_walk.krn.B_scale_dist_dur.txt,36,,,28,,,92,,,52,,20,,,8,,,20,,,
deer_walk3.krn.B_scale_dist_dur.txt,48,,,12,,,20,,,16,,92,,,32,,,8,20,,
demented_dog.krn.B_scale_dist_dur.txt,108,,,8,,,12,,,,,32,,,24,,,8,,,
democratic_rage_hornpipe.krn.B_scale_dist_dur.txt,44,,,16,,,32,,,16,,64,,,52,,,32,,,
denver_belle.krn.B_scale_dist_dur.txt,96,,,30,,,64,,,12,,12,,,12,,,30,,,
derry_reel.krn.B_scale_dist_dur.txt,48,,,32,,,28,,,,,52,,,56,,,40,,,
