Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
daileys_reel.krn.diss_A.txt,6,22,,4,20,4,,6,,,2,2
damons_winder.krn.diss_A.txt,,20,,,16,,12,8,,8,,
darlas_jig.krn.diss_A.txt,8,16,,8,,,,16,,,,
dawn.krn.diss_A.txt,12,12,,4,8,,,4,,,,
death_valley_reunion.krn.diss_A.txt,,4,,,,,4,4,,4,,
december_march.krn.diss_A.txt,8,12,,,,,4,4,,,4,8
dedicado_a_jos.krn.diss_A.txt,,8,8,,24,,,,24,,,
deer_walk.krn.diss_A.txt,8,16,,16,8,,4,8,,,4,
deer_walk3.krn.diss_A.txt,4,36,,20,8,,,22,,,,
demented_dog.krn.diss_A.txt,4,,,12,4,,4,8,,,8,
democratic_rage_hornpipe.krn.diss_A.txt,4,24,,12,,,4,8,,,,
denver_belle.krn.diss_A.txt,8,16,,16,4,,4,20,,,4,
derry_reel.krn.diss_A.txt,14,26,,12,,,4,24,,,6,
desjarlais_reel.krn.diss_A.txt,4,30,,8,12,,4,,,,10,
desnoyer_reel.krn.diss_A.txt,4,16,,4,,,16,4,,,18,
deux_lisa_le_reel_des.krn.diss_A.txt,16,8,,20,14,,,8,,,4,
deuxieme_partie_du_quarille_de_l_ile_d_orleans.krn.diss_A.txt,,,,2,4,,8,10,,,10,
devil_in_the_strawstack.krn.diss_A.txt,,,,,20,,,,,64,,
devils_churn.krn.diss_A.txt,8,8,4,,,,12,,,16,,
devlins.krn.diss_A.txt,4,18,4,,8,,4,,,8,,
diable_vert.krn.diss_A.txt,12,4,,12,14,,,28,,,,
dick_gossips.krn.diss_A.txt,16,20,,20,28,,,,,,4,
dilberts_jig.krn.diss_A.txt,,,,2,24,,,30,,2,10,
dinah.krn.diss_A.txt,8,16,,8,,,12,8,,,4,
dinkys_reel.krn.diss_A.txt,4,24,,8,46,,12,12,,8,,
divine_reel.krn.diss_A.txt,14,,28,,18,,10,,,14,,
dominion_reel.krn.diss_A.txt,8,,80,,20,,,,24,28,,
don_tremaines_reel.krn.diss_A.txt,8,8,,20,22,,8,12,,,8,
done_gone.krn.diss_A.txt,8,10,,16,,,36,16,,,,
donegal_lass.krn.diss_A.txt,,8,,4,24,,,,,,4,
doon_the_brae.krn.diss_A.txt,24,16,,,16,,,,,16,,
dowds_9.krn.diss_A.txt,4,20,,12,16,,16,4,,,,
drowsy_maggie.krn.diss_A.txt,,,,,8,,,8,,16,,
drummond_castle.krn.diss_A.txt,,8,,,4,,8,,,8,,
drunken_landlady.krn.diss_A.txt,8,16,,,40,,12,8,,,,
dubuque.krn.diss_A.txt,8,28,,12,,,8,24,,,,
duck_river.krn.diss_A.txt,4,4,,4,4,,24,12,,,4,
ducks_on_the_pond.krn.diss_A.txt,16,8,8,,8,,8,8,,20,,
dunbar.krn.diss_A.txt,12,24,,12,,,,28,,,,
dunmore_lasses.krn.diss_A.txt,2,34,10,,12,,10,,6,8,,
durangs_hornpipe.krn.diss_A.txt,8,40,,12,,,8,12,,,4,
earls_chair.krn.diss_A.txt,4,4,,4,,,24,8,,,,
early_in_the_year.krn.diss_A.txt,4,18,,4,,,8,,,,,
east_neuk_of_fife.krn.diss_A.txt,20,4,8,,12,,4,,20,8,,
east_tennessee_blues.krn.diss_A.txt,,30,,8,6,,,24,,,,4
eighth_of_january.krn.diss_A.txt,,20,,24,,,,16,,,,
